thesau_%0;term;term.soort;term.status;use_count;narrower_term;broader_term;related_term;equivalent_term;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93695;ijzertijd;onderwerp#eigennaam;descriptor;2028;late ijzertijd#midden ijzertijd#vroege ijzertijd;metaaltijden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13662;IJzertijd;onderwerp;descriptor;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89998;landhuizen;onderwerp;descriptor;2017;;woningen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
247;Conservering;onderwerp;descriptor;1982;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34557;villa's;onderwerp;descriptor;1945;stadsvilla's;woonhuizen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3704;Behangsels;onderwerp;descriptor;1944;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34532;tentoonstellingscatalogi;materiaalsoort#onderwerp#bibliografische vorm;descriptor;1916;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1024;Kerkorgels;onderwerp;descriptor;1868;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6995;Kleuronderzoek;onderwerp;descriptor;1852;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24962;20e eeuw;onderwerp;descriptor;1846;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
672;opgraving;onderwerp#vondstmethode#onderzoek/gebruik methode;descriptor;1832;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33853;Begraving;onderwerp;descriptor;1826;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24164;Onbekend;gemeente#plaats#geografisch trefwoord#materiaal#objectnaam#onderwerp;descriptor;1812;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
149;Fabriek;onderwerp;descriptor;1802;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
835;Delfland;geografisch trefwoord#onderwerp;descriptor;1802;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
871;Betuwe;geografisch trefwoord#onderwerp;descriptor;1778;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
